ID,SMILES
C3,COc1cccc(N)c1
C314,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC
C315,Nc1cccc(O)c1
C4,COc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1
C487,COc1cc2ncnc(Nc3ccc(NC(=O)c4ccccc4)cc3)c2cc1OC
C488,Nc1ccc(N)cc1
C489,COc1cc2ncnc(Nc3ccc(N)cc3)c2cc1OC
C500,O=C(Cl)c1ccccc1
C6,COc1cc2ncnc(Cl)c2cc1OC
R4,COc1cc2ncnc(Cl)c2cc1OC.COc1cccc(N)c1>>COc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1
R438,COc1cc2ncnc(Cl)c2cc1OC.Nc1cccc(O)c1>>COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC
R694,COc1cc2ncnc(Cl)c2cc1OC.Nc1ccc(N)cc1>>COc1cc2ncnc(Nc3ccc(N)cc3)c2cc1OC
R709,COc1cc2ncnc(Nc3ccc(N)cc3)c2cc1OC.O=C(Cl)c1ccccc1>>COc1cc2ncnc(Nc3ccc(NC(=O)c4ccccc4)cc3)c2cc1OC
